,lon,lat,common_name,obs_btm_trees,tree_type,entry_source
314,-69.6623593,44.54563,,,,Citizen Survey
315,-69.65958,44.546992,,,,Citizen Survey
316,-69.6400932,44.5545526,,,,Citizen Survey
317,-69.641001,44.555568,,,,Citizen Survey
318,-69.6599706,44.5470213,,,,Citizen Survey
319,-69.6587647,44.5478115,,,,Citizen Survey
321,-69.6579763,44.5476765,,,,Citizen Survey
322,-69.6581422,44.5461946,,,,Citizen Survey
323,-69.6626245,44.5445932,,,,Citizen Survey
324,-69.6623124,44.5448246,,,,Citizen Survey
325,-69.6528622,44.5541787,,,,Citizen Survey
326,-69.6743767,44.5528338,,,,Citizen Survey
327,-69.6549964,44.5496922,,,,Citizen Survey
328,-69.655564,44.5548339,,,,Citizen Survey
329,-69.6610908,44.5442195,,,,Citizen Survey
330,-69.6384453,44.5552685,,,,Citizen Survey
331,-69.6623593,44.54563,,,,Citizen Survey
332,-69.6720205,44.552132,,,,Citizen Survey
333,-69.6407775,44.5561062,,,,Citizen Survey
