,lon,lat,common_name,condition_class,obs_btm_nests,tree_type,entry_source
331,-69.66125904,44.52744635,Ash,Good ,0,Ornamental,Bartlett
332,-69.66026335,44.53435602,Ash,Good ,0,Ornamental,Bartlett
333,-69.66072207,44.53402718,Ash,Good ,0,Ornamental,Bartlett
334,-69.65496013,44.5796295,Ash,Good ,0,Ornamental,Bartlett
335,-69.66066448,44.53392025,Ash,Good ,0,Ornamental,Bartlett
336,-69.65526482,44.58025061,Ash,Good ,0,Ornamental,Bartlett
337,-69.62773993,44.55078428,Ash,Good ,0,Ornamental,Bartlett
338,-69.62767459,44.55070357,Ash,Fair ,0,Ornamental,Bartlett
339,-69.65954621,44.52694167,Ash,Good ,0,Ornamental,Bartlett
340,-69.62768555,44.55084344,Ash,Fair ,0,Ornamental,Bartlett
341,-69.66049525,44.53371769,Beech,Fair ,0,Ornamental,Bartlett
342,-69.65459642,44.57922567,Birch,Good ,0,Ornamental,Bartlett
343,-69.6560053,44.58062281,Birch,Good ,0,Ornamental,Bartlett
344,-69.65463902,44.57929706,Birch,Good ,0,Ornamental,Bartlett
345,-69.66029106,44.53347953,Birch,Good ,0,Ornamental,Bartlett
346,-69.65468104,44.57941279,Birch,Good ,0,Ornamental,Bartlett
347,-69.63355749,44.5464196,Birch,Good ,0,Ornamental,Bartlett
348,-69.65975225,44.52693828,Birch,Poor ,0,Ornamental,Bartlett
349,-69.62726698,44.55263141,Birch,Poor ,0,Ornamental,Bartlett
350,-69.62722375,44.55251928,Birch,Good ,0,Ornamental,Bartlett
351,-69.62716716,44.55257609,Birch,Good ,0,Ornamental,Bartlett
352,-69.62704316,44.5515117,Birch,Good ,0,Ornamental,Bartlett
353,-69.62719541,44.55166743,Birch,Good ,0,Ornamental,Bartlett
354,-69.62712477,44.55228637,Birch,Good ,0,Ornamental,Bartlett
355,-69.62722306,44.55235753,Birch,Good ,0,Ornamental,Bartlett
356,-69.62715494,44.5524321,Birch,Good ,0,Ornamental,Bartlett
357,-69.62719614,44.55231663,Birch,Good ,0,Ornamental,Bartlett
358,-69.6271921,44.55268889,Birch,Good ,0,Ornamental,Bartlett
